Town,County,,,,,,,,,,,
Groton,Caledonia,,,,,,,,,,,
Guildhall,Essex,,,,,,,,,,,
Guilford,Windham,,,,,,,,,,,
Halifax,Windham,,,,,,,,,,,
Hancock,Addison,,,,,,,,,,,
Hardwick,Caledonia,,,,,,,,,,,
Hartford,Windsor,,,,,,,,,,,
Hartland,Windsor,,,,,,,,,,,
Highgate,Franklin,,,,,,,,,,,
Hinesburg,Chittenden,,,,,,,,,,,
Holland,Orleans,,,,,,,,,,,
Hubbardton,Rutland,,,,,,,,,,,
Huntington,Chittenden,,,,,,,,,,,
Hyde Park,Lamoille,,,,,,,,,,,
Ira,Rutland,,,,,,,,,,,
Irasburg,Orleans,,,,,,,,,,,
Isle La Motte,Grand Isle,,,,,,,,,,,
Jamaica,Windham,,,,,,,,,,,
Jay,Orleans,,,,,,,,,,,
Jericho,Chittenden,,,,,,,,,,,
Johnson,Lamoille,,,,,,,,,,,
Killington,Rutland,,,,,,,,,,,
Kirby,Caledonia,,,,,,,,,,,
Landgrove,Bennington,,,,,,,,,,,
Leicester,Addison,,,,,,,,,,,
Lemington,Essex,,,,,,,,,,,
Lewis,Essex,,,,,,,,,,,
Lincoln,Addison,,,,,,,,,,,
Londonderry,Windham,,,,,,,,,,,
Lowell,Orleans,,,,,,,,,,,
Ludlow,Windsor,,,,,,,,,,,
Lunenburg,Essex,,,,,,,,,,,
Lyndon,Caledonia,,,,,,,,,,,
Maidstone,Essex,,,,,,,,,,,
Manchester,Bennington,,,,,,,,,,,
Marlboro,Windham,,,,,,,,,,,
Marshfield,Washington,,,,,,,,,,,
Mendon,Rutland,,,,,,,,,,,
Middlebury,Addison,,,,,,,,,,,
Middlesex,Washington,,,,,,,,,,,
Middletown Springs,Rutland,,,,,,,,,,,
Milton,Chittenden,,,,,,,,,,,
Monkton,Addison,,,,,,,,,,,
Montgomery,Franklin,,,,,,,,,,,
Moretown,Washington,,,,,,,,,,,
Morgan,Orleans,,,,,,,,,,,
Morristown,Lamoille,,,,,,,,,,,
Mount Holly,Rutland,,,,,,,,,,,
Mount Tabor,Rutland,,,,,,,,,,,
New Haven,Addison,,,,,,,,,,,
Newark,Caledonia,,,,,,,,,,,
Newbury,Orange,,,,,,,,,,,
Newfane,Windham,,,,,,,,,,,
Newport,Orleans,,,,,,,,,,,
North Hero,Grand Isle,,,,,,,,,,,
Northfield,Washington,,,,,,,,,,,
Norton,Essex,,,,,,,,,,,
Norwich,Windsor,,,,,,,,,,,
Orange,Orange,,,,,,,,,,,
Orwell,Addison,,,,,,,,,,,
Panton,Addison,,,,,,,,,,,
Pawlet,Rutland,,,,,,,,,,,
Peacham,Caledonia,,,,,,,,,,,
Peru,Bennington,,,,,,,,,,,
Pittsfield,Rutland,,,,,,,,,,,
Pittsford,Rutland,,,,,,,,,,,
Plainfield,Washington,,,,,,,,,,,
Plymouth,Windsor,,,,,,,,,,,
Pomfret,Windsor,,,,,,,,,,,
Poultney,Rutland,,,,,,,,,,,
Pownal,Bennington,,,,,,,,,,,
Proctor,Rutland,,,,,,,,,,,
Putney,Windham,,,,,,,,,,,
Randolph,Orange,,,,,,,,,,,
Reading,Windsor,,,,,,,,,,,
Readsboro,Bennington,,,,,,,,,,,
Richford,Franklin,,,,,,,,,,,
Richmond,Chittenden,,,,,,,,,,,
Ripton,Addison,,,,,,,,,,,
Rochester,Windsor,,,,,,,,,,,
Rockingham,Windham,,,,,,,,,,,
Roxbury,Washington,,,,,,,,,,,
Royalton,Windsor,,,,,,,,,,,
Rupert,Bennington,,,,,,,,,,,
Rutland,Rutland,,,,,,,,,,,
Ryegate,Caledonia,,,,,,,,,,,
Salisbury,Addison,,,,,,,,,,,
Sandgate,Bennington,,,,,,,,,,,
Searsburg,Bennington,,,,,,,,,,,
Shaftsbury,Bennington,,,,,,,,,,,
Sharon,Windsor,,,,,,,,,,,
Sheffield,Caledonia,,,,,,,,,,,
Shelburne,Chittenden,,,,,,,,,,,
Sheldon,Franklin,,,,,,,,,,,
Shoreham,Addison,,,,,,,,,,,
Shrewsbury,Rutland,,,,,,,,,,,
Somerset,Windham,,,,,,,,,,,
South Hero,Grand Isle,,,,,,,,,,,
Springfield,Windsor,,,,,,,,,,,
St. Albans,Franklin,,,,,,,,,,,
St. George,Chittenden,,,,,,,,,,,
St. Johnsbury,Caledonia,,,,,,,,,,,
Stamford,Bennington,,,,,,,,,,,
Stannard,Caledonia,,,,,,,,,,,
Starksboro,Addison,,,,,,,,,,,
Stockbridge,Windsor,,,,,,,,,,,
Stowe,Lamoille,,,,,,,,,,,
Strafford,Orange,,,,,,,,,,,
Stratton,Windham,,,,,,,,,,,
Sudbury,Rutland,,,,,,,,,,,
Sunderland,Bennington,,,,,,,,,,,
Sutton,Caledonia,,,,,,,,,,,
Swanton,Franklin,,,,,,,,,,,
Thetford,Orange,,,,,,,,,,,
Tinmouth,Rutland,,,,,,,,,,,
Topsham,Orange,,,,,,,,,,,
Townshend,Windham,,,,,,,,,,,
Troy,Orleans,,,,,,,,,,,
Tunbridge,Orange,,,,,,,,,,,
Underhill,Chittenden,,,,,,,,,,,
Vernon,Windham,,,,,,,,,,,
Vershire,Orange,,,,,,,,,,,
Victory,Essex,,,,,,,,,,,
Waitsfield,Washington,,,,,,,,,,,
Walden,Caledonia,,,,,,,,,,,
Wallingford,Rutland,,,,,,,,,,,
Waltham,Addison,,,,,,,,,,,
Wardsboro,Windham,,,,,,,,,,,
Warren,Washington,,,,,,,,,,,
Washington,Orange,,,,,,,,,,,
Waterbury,Washington,,,,,,,,,,,
Waterford,Caledonia,,,,,,,,,,,
Waterville,Lamoille,,,,,,,,,,,
Weathersfield,Windsor,,,,,,,,,,,
Wells,Rutland,,,,,,,,,,,
West Fairlee,Orange,,,,,,,,,,,
West Haven,Rutland,,,,,,,,,,,
West Rutland,Rutland,,,,,,,,,,,
West Windsor,Windsor,,,,,,,,,,,
Westfield,Orleans,,,,,,,,,,,
Westford,Chittenden,,,,,,,,,,,
Westminster,Windham,,,,,,,,,,,
Westmore,Orleans,,,,,,,,,,,
Weston,Windsor,,,,,,,,,,,
Weybridge,Addison,,,,,,,,,,,
Wheelock,Caledonia,,,,,,,,,,,
Whiting,Addison,,,,,,,,,,,
Whitingham,Windham,,,,,,,,,,,
Williamstown,Orange,,,,,,,,,,,
Williston,Chittenden,,,,,,,,,,,
Wilmington,Windham,,,,,,,,,,,
Windham,Windham,,,,,,,,,,,
Windsor,Windsor,,,,,,,,,,,
Winhall,Bennington,,,,,,,,,,,
Wolcott,Lamoille,,,,,,,,,,,
Woodbury,Washington,,,,,,,,,,,
Woodford,Bennington,,,,,,,,,,,
Woodstock,Windsor,,,,,,,,,,,
Worcester,Washington,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
